Accession ID,Sample Collection Date,Location,lat,lon
MT123293,2020/1/29,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
MT121215,2020/2/2,China/Shanghai,31.22222000000005,121.45806000000005
MT066156,2020/1/30,Italy,42.833330000000046,12.833330000000046
LC529905,2020/1/20,Japan,36.655226998000046,139.27149500000007
MT184907,2020/2/18,United States,39.39870315600007,-99.41461918999994
MT184908,2020/2/21,United States,39.39870315600007,-99.41461918999994
MT184909,2020/2/21,United States,39.39870315600007,-99.41461918999994
MT184910,2020/2/18,United States,39.39870315600007,-99.41461918999994
MT184911,2020/2/17,United States,39.39870315600007,-99.41461918999994
MT184912,2020/2/17,United States,39.39870315600007,-99.41461918999994
MT184913,2020/2/24,United States,39.39870315600007,-99.41461918999994
MT188339,2020/3/9,United States/MN,46.34885576600004,-94.20079058299996
MT188340,2020/3/7,United States/MN,46.34885576600004,-94.20079058299996
MT188341,2020/3/5,United States/MN,46.34885576600004,-94.20079058299996
MT192759,2020/1/25,China/Taiwan,32.32812000000007,118.76384000000007
MT192765,2020/3/11,United States/CA,36.37410569300005,-119.27022999999997
MT192772,2020/1/22,Vietnam/HoChiMinhcity,10.750000000000057,106.66667000000007
MT192773,2020/1/22,Vietnam/HoChiMinhcity,10.750000000000057,106.66667000000007
MT226610,2020/1/20,China,36.567348398000036,103.93002703300004
MT253696,2020/1/23,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253697,2020/1/23,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253698,2020/1/23,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253699,2020/1/24,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253700,2020/1/25,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253701,2020/1/21,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253702,2020/1/21,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253703,2020/1/25,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253704,2020/1/25,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253705,2020/1/22,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253706,2020/1/22,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253707,2020/1/25,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253708,2020/1/21,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253709,2020/1/21,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
MT253710,2020/1/21,China/Zhejiang/Hangzhou,30.29365000000007,120.16142000000002
LC534418,2020/2/14,Japan,36.655226998000046,139.27149500000007
LC534419,2020/3/9,Japan,36.655226998000046,139.27149500000007
MT262993,2020/3/12,Pakistan/KPK,30.314282999000056,70.21010363900007
MT263381,2020/3/23,United States/Washington,38.890370000000075,-77.03195999999997
MT263382,2020/3/23,United States/Washington,38.890370000000075,-77.03195999999997
MT263383,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263384,2020/3/23,United States/Washington,38.890370000000075,-77.03195999999997
MT263386,2020/3/22,United States/WA,47.41125184300006,-120.55626318699996
MT263388,2020/3/23,United States/WA,47.41125184300006,-120.55626318699996
MT263390,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263391,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263392,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263394,2020/3/22,United States/WA,47.41125184300006,-120.55626318699996
MT263395,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263396,2020/3/22,United States/WA,47.41125184300006,-120.55626318699996
MT263398,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263399,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263400,2020/3/23,United States/Washington,38.890370000000075,-77.03195999999997
MT263402,2020/3/23,United States/Washington,38.890370000000075,-77.03195999999997
MT263403,2020/3/20,United States/WA,47.41125184300006,-120.55626318699996
MT263404,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263405,2020/3/21,United States/WA,47.41125184300006,-120.55626318699996
MT263406,2020/3/21,United States/WA,47.41125184300006,-120.55626318699996
MT263408,2020/3/24,United States/Connecticut,41.57350273000003,-72.73830590799997
MT263410,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263411,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263412,2020/3/22,United States/WA,47.41125184300006,-120.55626318699996
MT263413,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263414,2020/3/24,United States/Minnesota,46.34885576600004,-94.20079058299996
MT263415,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263416,2020/3/21,United States/WA,47.41125184300006,-120.55626318699996
MT263417,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263418,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263419,2020/3/20,United States/WA,47.41125184300006,-120.55626318699996
MT263420,2020/3/20,United States/Washington,38.890370000000075,-77.03195999999997
MT263421,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263422,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263423,2020/3/23,United States/Washington,38.890370000000075,-77.03195999999997
MT263424,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263425,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263428,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263429,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263430,2020/3/24,United States/Illinois,40.11404657000003,-89.15865090199998
MT263431,2020/3/24,United States/Illinois,40.11404657000003,-89.15865090199998
MT263432,2020/3/24,United States/Illinois,40.11404657000003,-89.15865090199998
MT263433,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263434,2020/3/24,United States,39.39870315600007,-99.41461918999994
MT263435,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263436,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263437,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263438,2020/3/24,United States/WA,47.41125184300006,-120.55626318699996
MT263439,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263440,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263441,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263442,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263443,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
MT263444,2020/3/20,United States/Washington,38.890370000000075,-77.03195999999997
MT263445,2020/3/24,United States/Washington,38.890370000000075,-77.03195999999997
